mid,dtg,y,x
civ-84a4b185-4876-45c5-929b-45060c124883,2026-04-01T06:40:00,12.363994,-1.515314
civ-3c1ada17-80cb-4017-b4c7-4c3d02237b2b,2026-04-01T06:40:00,12.364064,-1.515501
civ-25f98b9d-dda3-4cc0-979d-4373883a6fea,2026-04-01T06:41:00,12.362718,-1.522483
civ-8ceb1a3a-e9b7-40fe-814f-479959e1454a,2026-04-01T06:41:00,12.36399,-1.515493
civ-abeda85a-7a5f-4a4d-9fee-a646cbd29f07,2026-04-01T06:41:00,12.362945,-1.522422
civ-24c68766-5999-444c-ab46-bc6019ffd914,2026-04-01T06:41:00,12.363108,-1.522668
civ-25f98b9d-dda3-4cc0-979d-4373883a6fea,2026-04-01T06:42:00,12.363093,-1.522443
civ-7162f91a-3b65-44e6-95e6-cf5dbe6fd319,2026-04-01T06:43:00,12.363919,-1.515356
civ-82a4f402-4c12-4405-ad50-0fd02a4a0b03,2026-04-01T06:45:00,12.362886,-1.522447
civ-4850d4b7-349b-4438-8981-93c40949f039,2026-04-01T06:45:00,12.36303,-1.522629
civ-7162f91a-3b65-44e6-95e6-cf5dbe6fd319,2026-04-01T06:45:00,12.364086,-1.515452
civ-72600113-7b6d-42b8-b67e-761eb13871c5,2026-04-01T06:45:00,12.362834,-1.522481
civ-d05ccc1a-7710-4be7-91df-2c15cf8604af,2026-04-01T06:46:00,12.363005,-1.522499
civ-4850d4b7-349b-4438-8981-93c40949f039,2026-04-01T06:46:00,12.36286,-1.522488
civ-a2ca91a1-7da6-4ef0-b661-730d574a2c52,2026-04-01T06:46:00,12.362906,-1.522597
civ-c32f3802-5bf3-4444-b115-13079e195724,2026-04-01T06:46:00,12.364135,-1.515393
civ-ac6353fc-8224-43c6-925d-d822d079e811,2026-04-01T06:47:00,12.364185,-1.515242
civ-82a4f402-4c12-4405-ad50-0fd02a4a0b03,2026-04-01T06:47:00,12.363043,-1.522611
civ-e60b8747-9271-40df-8dc9-dca10a2f9e8f,2026-04-01T06:47:00,12.363862,-1.515285
civ-24c68766-5999-444c-ab46-bc6019ffd914,2026-04-01T06:47:00,12.362856,-1.522493
civ-8ceb1a3a-e9b7-40fe-814f-479959e1454a,2026-04-01T06:47:00,12.36395,-1.515508
civ-ef2ba886-f703-414a-84b6-c6664c752f36,2026-04-01T06:49:00,12.363881,-1.515235
civ-f4231902-c9ae-41df-b227-3bedfb0d1d60,2026-04-01T06:49:00,12.363883,-1.51534
civ-42931d30-6953-4ae8-a718-fa6b7a5f963c,2026-04-01T06:50:00,12.36294,-1.52243
civ-07c135d9-4df1-4704-bc07-1eb2566e2c2a,2026-04-01T06:50:00,12.364058,-1.515277
civ-55d678ca-adc9-49f9-b39e-797e3da38bf2,2026-04-01T06:50:00,12.364106,-1.515442
civ-c32f3802-5bf3-4444-b115-13079e195724,2026-04-01T06:51:00,12.363894,-1.515584
civ-f4231902-c9ae-41df-b227-3bedfb0d1d60,2026-04-01T06:52:00,12.363814,-1.515408
civ-abeda85a-7a5f-4a4d-9fee-a646cbd29f07,2026-04-01T06:52:00,12.362857,-1.522559
