mid,dtg,y,x
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:00:00,12.364466,-1.521212
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:00:30,12.364527,-1.520872
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:01:00,12.364588,-1.520533
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:01:30,12.364651,-1.520194
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:02:00,12.364714,-1.519855
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:02:30,12.364775,-1.519515
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:03:00,12.364843,-1.519177
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:03:30,12.36491,-1.518838
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:04:00,12.364974,-1.518499
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:04:30,12.364673,-1.518418
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:05:00,12.364341,-1.518355
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:05:30,12.364009,-1.518294
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:06:00,12.363677,-1.518233
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:06:30,12.363345,-1.518172
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:07:00,12.363013,-1.518111
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:07:30,12.362682,-1.518049
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:08:00,12.36235,-1.517985
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:08:30,12.362019,-1.517922
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:09:00,12.361686,-1.517864
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:09:30,12.361354,-1.517805
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:10:00,12.361134,-1.517667
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:10:30,12.361198,-1.517328
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:11:00,12.361263,-1.516989
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:11:30,12.361331,-1.516651
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:12:00,12.361398,-1.516312
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:12:30,12.361403,-1.515982
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:13:00,12.36147,-1.515644
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:13:30,12.361536,-1.515305
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:14:00,12.36147,-1.515001
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:14:30,12.361625,-1.514735
logB-c23e4c99-d72b-4789-9397-006a7d765d4c,2026-02-01T05:15:00,12.361721,-1.51443
leaderA-dc3bb5ee-282c-411f-96da-eebb88b52ea0,2026-02-01T05:30:00,12.359704,-1.516401
securityA-43c3c6c2-08da-4277-b10b-2565d4ab391b,2026-02-01T05:30:00,12.359704,-1.516401
leaderA-dc3bb5ee-282c-411f-96da-eebb88b52ea0,2026-02-01T05:33:00,12.359706,-1.516386
securityA-43c3c6c2-08da-4277-b10b-2565d4ab391b,2026-02-01T05:33:00,12.359706,-1.516386
leaderA-dc3bb5ee-282c-411f-96da-eebb88b52ea0,2026-02-01T05:36:00,12.359698,-1.516402
securityA-43c3c6c2-08da-4277-b10b-2565d4ab391b,2026-02-01T05:36:00,12.359698,-1.516402
leaderA-dc3bb5ee-282c-411f-96da-eebb88b52ea0,2026-02-01T05:39:00,12.359714,-1.516393
securityA-43c3c6c2-08da-4277-b10b-2565d4ab391b,2026-02-01T05:39:00,12.359714,-1.516393
leaderA-dc3bb5ee-282c-411f-96da-eebb88b52ea0,2026-02-01T05:42:00,12.359696,-1.516395
securityA-43c3c6c2-08da-4277-b10b-2565d4ab391b,2026-02-01T05:42:00,12.359696,-1.516395
courierA-5459d08e-e00c-4174-9a21-c4b90ef20a87,2026-02-01T06:00:00,12.359413,-1.51634
courierA-5459d08e-e00c-4174-9a21-c4b90ef20a87,2026-02-01T06:00:30,12.359483,-1.516002
courierA-5459d08e-e00c-4174-9a21-c4b90ef20a87,2026-02-01T06:01:00,12.359666,-1.515843
courierA-5459d08e-e00c-4174-9a21-c4b90ef20a87,2026-02-01T06:01:30,12.359996,-1.515914
courierA-5459d08e-e00c-4174-9a21-c4b90ef20a87,2026-02-01T06:02:00,12.360326,-1.515986
courierA-5459d08e-e00c-4174-9a21-c4b90ef20a87,2026-02-01T06:02:30,12.360656,-1.516057
courierA-5459d08e-e00c-4174-9a21-c4b90ef20a87,2026-02-01T06:03:00,12.360986,-1.516128
courierA-5459d08e-e00c-4174-9a21-c4b90ef20a87,2026-02-01T06:03:30,12.361316,-1.516199
courierA-5459d08e-e00c-4174-9a21-c4b90ef20a87,2026-02-01T06:04:00,12.361417,-1.515912
courierA-5459d08e-e00c-4174-9a21-c4b90ef20a87,2026-02-01T06:04:30,12.361484,-1.515573
courierA-5459d08e-e00c-4174-9a21-c4b90ef20a87,2026-02-01T06:05:00,12.361549,-1.515235
courierA-5459d08e-e00c-4174-9a21-c4b90ef20a87,2026-02-01T06:05:30,12.361465,-1.51493
courierA-5459d08e-e00c-4174-9a21-c4b90ef20a87,2026-02-01T06:06:00,12.361664,-1.514691
courierA-5459d08e-e00c-4174-9a21-c4b90ef20a87,2026-02-01T06:06:30,12.36179,-1.514443
facA-1420f464-9589-439d-bdab-a216790c256e,2026-02-01T06:30:00,12.362903,-1.522491
facA-1420f464-9589-439d-bdab-a216790c256e,2026-02-01T06:33:00,12.362896,-1.522502
facA-1420f464-9589-439d-bdab-a216790c256e,2026-02-01T06:36:00,12.36289,-1.522511
facA-1420f464-9589-439d-bdab-a216790c256e,2026-02-01T06:39:00,12.362907,-1.522488
securityA-43c3c6c2-08da-4277-b10b-2565d4ab391b,2026-02-01T06:54:00,12.359413,-1.51634
leaderA-dc3bb5ee-282c-411f-96da-eebb88b52ea0,2026-02-01T06:54:00,12.359413,-1.51634
leaderA-dc3bb5ee-282c-411f-96da-eebb88b52ea0,2026-02-01T06:54:30,12.359346,-1.516678
securityA-43c3c6c2-08da-4277-b10b-2565d4ab391b,2026-02-01T06:54:30,12.359346,-1.516678
securityA-43c3c6c2-08da-4277-b10b-2565d4ab391b,2026-02-01T06:55:00,12.359286,-1.517018
leaderA-dc3bb5ee-282c-411f-96da-eebb88b52ea0,2026-02-01T06:55:00,12.359286,-1.517018
leaderA-dc3bb5ee-282c-411f-96da-eebb88b52ea0,2026-02-01T06:55:30,12.359261,-1.517335
securityA-43c3c6c2-08da-4277-b10b-2565d4ab391b,2026-02-01T06:55:30,12.359261,-1.517335
securityA-43c3c6c2-08da-4277-b10b-2565d4ab391b,2026-02-01T06:56:00,12.359592,-1.517397
leaderA-dc3bb5ee-282c-411f-96da-eebb88b52ea0,2026-02-01T06:56:00,12.359592,-1.517397
securityA-43c3c6c2-08da-4277-b10b-2565d4ab391b,2026-02-01T06:56:30,12.359924,-1.517459
leaderA-dc3bb5ee-282c-411f-96da-eebb88b52ea0,2026-02-01T06:56:30,12.359924,-1.517459
securityA-43c3c6c2-08da-4277-b10b-2565d4ab391b,2026-02-01T06:57:00,12.360256,-1.517521
leaderA-dc3bb5ee-282c-411f-96da-eebb88b52ea0,2026-02-01T06:57:00,12.360256,-1.517521
securityA-43c3c6c2-08da-4277-b10b-2565d4ab391b,2026-02-01T06:57:30,12.360588,-1.517583
leaderA-dc3bb5ee-282c-411f-96da-eebb88b52ea0,2026-02-01T06:57:30,12.360588,-1.517583
leaderA-dc3bb5ee-282c-411f-96da-eebb88b52ea0,2026-02-01T06:58:00,12.360919,-1.517645
securityA-43c3c6c2-08da-4277-b10b-2565d4ab391b,2026-02-01T06:58:00,12.360919,-1.517645
securityA-43c3c6c2-08da-4277-b10b-2565d4ab391b,2026-02-01T06:58:30,12.361251,-1.517707
leaderA-dc3bb5ee-282c-411f-96da-eebb88b52ea0,2026-02-01T06:58:30,12.361251,-1.517707
securityA-43c3c6c2-08da-4277-b10b-2565d4ab391b,2026-02-01T06:59:00,12.361583,-1.517769
leaderA-dc3bb5ee-282c-411f-96da-eebb88b52ea0,2026-02-01T06:59:00,12.361583,-1.517769
securityA-43c3c6c2-08da-4277-b10b-2565d4ab391b,2026-02-01T06:59:30,12.361915,-1.51783
leaderA-dc3bb5ee-282c-411f-96da-eebb88b52ea0,2026-02-01T06:59:30,12.361915,-1.51783
civ-46c2639f-d749-4447-8a30-32cf44dfaff0,2026-02-01T07:00:00,12.362982,-1.522446
civ-f5b300b8-feae-473f-9d1f-68b24ef148e4,2026-02-01T07:00:00,12.363948,-1.515351
civ-d069d5e2-816f-4684-90b9-3c2ae115ad61,2026-02-01T07:00:00,12.363947,-1.515384
civ-4ad54e4b-ae69-4313-b223-679ecdee4668,2026-02-01T07:00:00,12.364003,-1.515447
civ-1b770f54-92bf-44eb-884f-f8d8c946c4a3,2026-02-01T07:00:00,12.364154,-1.515354
civ-f5426100-1495-4d5e-b8f4-2d51efca1508,2026-02-01T07:00:00,12.363854,-1.515387
civ-5714ec1d-eba0-4fdb-b708-bf8e4d7eb7aa,2026-02-01T07:00:00,12.362942,-1.522342
courierA-5459d08e-e00c-4174-9a21-c4b90ef20a87,2026-02-01T07:00:00,12.362496,-1.51309
leaderA-dc3bb5ee-282c-411f-96da-eebb88b52ea0,2026-02-01T07:00:00,12.362247,-1.517892
civ-1a4ae841-b1ae-47d9-bdbf-d028f7eb8c49,2026-02-01T07:00:00,12.363001,-1.522601
civ-7040c350-6694-4e89-a52c-d6bcb1315c0d,2026-02-01T07:00:00,12.362957,-1.522565
civ-52a297d4-2571-418b-881d-4d451c0e7028,2026-02-01T07:00:00,12.363977,-1.515345
civ-b769f0d3-82b5-4713-9248-1cde50884740,2026-02-01T07:00:00,12.362919,-1.522444
civ-1e9666d3-c8cf-46c1-9ba7-b3770e7f577a,2026-02-01T07:00:00,12.362844,-1.522523
civ-7fbf1e92-6ad6-450b-9aa3-8aa00ff9d421,2026-02-01T07:00:00,12.362959,-1.522589
civ-dde1f3ad-e1af-49e6-b4bb-41f7b049adeb,2026-02-01T07:00:00,12.362916,-1.522406
civ-c0ca9fcc-c439-4a71-9d7b-d7739a72955a,2026-02-01T07:00:00,12.362784,-1.522487
civ-04525eb1-0ef4-494c-81e5-3af82ae8c411,2026-02-01T07:00:00,12.362811,-1.522595
civ-c4f30a6b-4803-4f61-adb1-fe421f0462e5,2026-02-01T07:00:00,12.362938,-1.522479
civ-fb985cd3-748c-42a8-845d-20e89f97a1c3,2026-02-01T07:00:00,12.362918,-1.522475
civ-51aa7f9e-1f13-480b-9112-3c1f8029a408,2026-02-01T07:00:00,12.362851,-1.522483
civ-3f2529fa-5aa2-4fc7-9f3a-aca8198eef05,2026-02-01T07:00:00,12.362834,-1.522388
civ-8b0516c1-1283-4123-9f96-ba3b82a81935,2026-02-01T07:00:00,12.362921,-1.522551
civ-46804937-6344-4698-8d49-80d8bdb0f476,2026-02-01T07:00:00,12.364004,-1.515482
